empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,source_entropy,source_file,source_gen_ppl,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample,source_group,display_name,source_nfe
0,8.194591219856406,1020,997.53125,candi,950,8,256,0.4778517851533633,0.9550839273919723,0.8197955003122197,0.6215307107067773,2.5836005210876465,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.100.json,8.194015502929688,0.10000000149011612,0.100,2.7109226661654735,0.0013627392625544313,0.044916072608027414,0.01341763617548371,0.1802044996877801,0.054728944972847415,0.37846928929322265,0.13421838177533385,0.5891848493496906,diffusion,CANDI,
0,8.212118095079678,1017,996.046875,candi,918,8,256,0.4743941786297521,0.9557883306078162,0.8205805063012823,0.6213341935691774,2.5656776428222656,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.166.json,8.210404396057129,0.16551724076271057,0.166,2.694950142694759,0.0013216308218425964,0.04421166939218382,0.012703547257509853,0.17941949369871832,0.052751536490671026,0.3786658064308222,0.13087876642278343,0.5878077569876109,diffusion,CANDI,
0,8.736460556741987,1022,1000.625,candi,954,8,256,0.45222643649110833,0.9511214008667095,0.8061035727574798,0.5980887874640504,2.657297134399414,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.231.json,8.736702919006348,0.23103448748588562,0.231,2.776037044521607,0.001518582136164897,0.0488785991332922,0.014474177816681255,0.19389642724252124,0.058870008762047815,0.4019112125359496,0.14392385039468739,0.6153832698679339,diffusion,CANDI,
0,9.106668773580797,1021,1000.4453125,candi,956,8,256,0.4382772936087749,0.9486024833294945,0.7935858850089674,0.5776366938810324,2.6975231170654297,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.297.json,9.105155944824219,0.2965517044067383,0.297,2.814542475101806,0.0017570300725458195,0.05139751667050643,0.01632546177958086,0.20641411499103268,0.06463564447852521,0.4223633061189678,0.15480172001911133,0.6355262829900645,diffusion,CANDI,
0,9.590164425575683,1020,1000.421875,candi,906,8,256,0.41235932918228674,0.9434504115953962,0.7797649924440372,0.556948975522803,2.7587976455688477,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.362.json,9.589799880981445,0.36206895112991333,0.362,2.8748750717670335,0.002131913099161291,0.05654958840460421,0.019839594765723934,0.22023500755596226,0.07553717585564719,0.44305102447719735,0.1733688415446072,0.6564203258561979,diffusion,CANDI,
0,10.476271113243808,1022,1002.15625,candi,857,8,256,0.3841779516129907,0.9341112587288293,0.7514671343533498,0.517412193838258,2.8826804161071777,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.428.json,10.475983619689941,0.4275861978530884,0.428,2.992951139588333,0.0028415292026567713,0.06588874127117071,0.026719106033648594,0.24853286564665067,0.09675441337291048,0.4825878061617418,0.2075696681575079,0.6954083501645357,diffusion,CANDI,
0,12.235628608411517,1021,1004.2421875,candi,965,8,256,0.32958084471074667,0.9170619275445249,0.7011176219068895,0.4515146210696911,3.0793445110321045,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.493.json,12.233619689941406,0.4931034445762634,0.493,3.1838242520041242,0.0042476058595178265,0.08293807245547438,0.03728925748549624,0.2988823780931108,0.12637679577821603,0.548485378930309,0.24986150016776035,0.7512776269648062,diffusion,CANDI,
0,15.172240617299202,1022,1004.7734375,candi,859,8,256,0.2675137245330451,0.8904777811320191,0.6333663395187652,0.37595708856430793,3.325636386871338,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.559.json,15.169678688049316,0.5586206912994385,0.559,3.4252654426855695,0.007172792373902699,0.10952221886798008,0.05647050582567344,0.3666336604812353,0.17024658174593899,0.6240429114356923,0.30210486091072863,0.8098705348770638,diffusion,CANDI,
0,20.967947400416822,1024,1008.7421875,candi,973,8,256,0.24104395871405657,0.8371253035253047,0.5156277926386365,0.2623671798106267,3.732022762298584,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.624.json,20.966712951660156,0.6241379380226135,0.624,3.8208944426916336,0.012186432670637164,0.16287469647469546,0.08407950942313805,0.4843722073613637,0.22000108642511815,0.7376328201893728,0.3485493455548219,0.8864849636418091,diffusion,CANDI,
0,32.99273072833267,1024,1011.59375,candi,979,8,256,0.4802991176725571,0.7577775595796229,0.37369659895915297,0.15645560221497867,4.235902786254883,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.690.json,32.99079895019531,0.6896551847457886,0.690,4.308017934549166,0.021338543758302183,0.24222244042037655,0.12953399919601719,0.6263034010408459,0.2897746618379918,0.8435443977850215,0.40331138652207593,0.9433442626792188,diffusion,CANDI,
0,53.680793629512586,1024,1015.359375,candi,1002,8,256,0.8471447891542041,0.677417437556934,0.2623558406326236,0.0910125128713205,4.668262958526611,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.755.json,53.67526626586914,0.7551723718643188,0.755,4.72305406336909,0.031619808257544284,0.32258256244306605,0.17940048367966235,0.7376441593673767,0.34713591858761855,0.9089874871286785,0.4384443827074748,0.9742693340400784,diffusion,CANDI,
