display_name,empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample,source_group,source_entropy,source_file,source_gen_ppl,source_nfe
Mirror,0,1476.4114782138793,1024,1024.0,mirror_5000,1024,0,128,3.508259676681206,0.7141189575195312,0.054618768328445706,0.005931996086105693,,,5.153420232486925,0.0359954833984375,0.28588104248046875,0.6546768084066471,0.9453812316715546,0.9602724437377691,0.9940680039138944,0.9990282198824681,0.9998928746327131,parameter_free,,,,
Periodic,0,21.797587788899477,1024,1024.0,periodic_400,1024,0,128,1.0921635440049469,0.609375,0.6089931573802544,0.6086105675146755,,,5.972238147843534,0.0030517578125,0.390625,0.0030547409579667643,0.39100684261974555,0.003057729941291585,0.39138943248532376,0.0030607247796278158,0.391772771792361,parameter_free,,,,
Phrase bank,0,122.93901859820878,1024,1024.0,phrase_bank_5000,1024,0,128,1.4347434619392456,0.598297119140625,0.277492668621701,0.1347159368884539,,,4.969752494772346,0.01645660400390625,0.401702880859375,0.1547608137829912,0.7225073313782987,0.34579103473581213,0.8652840631115473,0.5434622918707149,0.9595219147894222,parameter_free,,,,
Top-k IID,0,146.04465151487994,1024,1024.0,top_k_iid_64,1024,0,128,1.4235409400057257,0.937774658203125,0.3814913245356796,0.03838215508806262,,,3.5611426334462135,0.00048828125,0.062225341796875,0.03082997311827957,0.6185086754643209,0.4010518590998043,0.9616178449119382,0.8709368878550441,0.9981100024485812,parameter_free,,,,
CANDI,0,20.967947400416822,1024,1008.7421875,candi,973,8,256,0.24104395871405657,0.8371253035253047,0.5156277926386365,0.2623671798106267,0.6241379380226135,0.624,3.8208944426916336,0.012186432670637164,0.16287469647469546,0.08407950942313805,0.4843722073613637,0.22000108642511815,0.7376328201893728,0.3485493455548219,0.8864849636418091,diffusion,3.732022762298584,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp0.624.json,20.966712951660156,
DUO,0,17.678006940971933,1021,999.015625,duo,958,8,256,0.09825667269300037,0.8325611528458494,0.5811133714192155,0.35041288446865754,0.625,0.625,3.38445332386872,0.0199141342258786,0.16743884715415092,0.0819008031562632,0.41888662858078435,0.1786581830149352,0.6495871155313421,0.2800180406306377,0.8188981206623452,diffusion,3.254441976547241,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/duo-50k/samples_steps8_temp0.625.json,17.67504119873047,
MDLM,0,14.576764420035229,1014,984.328125,mdlm,950,8,256,0.23814941594473688,0.8942536543788594,0.6854555105792823,0.46293228098238726,0.6241379380226135,0.624,2.999289696692894,0.008333730177627506,0.10574634562113981,0.050625268142310074,0.31454448942071744,0.13091905390574052,0.5370677190176131,0.22684101584268768,0.7251792851429577,diffusion,2.803407907485962,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/mdlm-50k/samples_steps8_temp0.624.json,14.574663162231445,
CANDI,0,15.37505220355412,1024,1019.171875,candi,999,16,256,0.164569751007179,0.8146448477157247,0.49837662044332365,0.27274480016157976,0.6241379380226135,0.624,4.0523307753637665,0.015484385300565716,0.18535515228427618,0.09860657121372558,0.5016233795566764,0.23487687982918323,0.7272551998384204,0.34953486584147,0.861438224508488,diffusion,4.021148681640625,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps16_temp0.624.json,15.372147560119629,
DUO,0,16.23782443746368,1026,1015.4375,duo,943,16,256,0.05462002533774281,0.7715014077960914,0.4927873633205577,0.29229042052565307,0.625,0.625,3.8303228267700704,0.031551978826860345,0.22849859220390897,0.12828460969749245,0.5072126366794423,0.24610699969164354,0.7077095794743479,0.3424478362861905,0.8369997203701373,diffusion,3.7843596935272217,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/duo-50k/samples_steps16_temp0.625.json,16.234949111938477,
MDLM,0,16.738097664662394,1023,1010.453125,mdlm,973,16,256,0.10401131131116136,0.8100079902019701,0.5208461154623782,0.3118947003255931,0.6896551847457886,0.690,3.785964227207531,0.019224821784780962,0.18999200979802877,0.10700023218017181,0.4791538845376217,0.2329062146542508,0.6881052996744068,0.3372326566062317,0.8255264855376659,diffusion,3.7048466205596924,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/mdlm-50k/samples_steps16_temp0.690.json,16.735015869140625,
