empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,source_entropy,source_file,source_gen_ppl,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample
0,2.500942708163196,1025,1023.9140625,ar,1021,64,256,0.9783406754052695,0.8240014438573954,0.6643705778237582,0.5933586882213948,4.11898136138916,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.600.json,2.5006344318389893,0.6000000238418579,0.600,4.119321685966728,0.023843858966435476,0.17599855614260465,0.09935997800401732,0.33562942217624137,0.16577730209089866,0.40664131177860513,0.2029852231073563,0.4489663376590343
0,2.6948939188862426,1024,1023.9375,ar,1022,64,256,0.9412304204763327,0.8085426594452184,0.6312148653441385,0.5518527860244659,4.164146900177002,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.625.json,2.6945555210113525,0.625,0.625,4.164446507652521,0.026021638283586643,0.1914573405547815,0.10951151707704528,0.36878513465586144,0.18300103969176199,0.44814721397553403,0.22444903581267217,0.49431602686882276
0,3.3692031734368575,1027,1023.96875,ar,1022,64,256,0.8378852114911907,0.7707567090160821,0.556722368308885,0.46343749952875113,4.418705463409424,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.650.json,3.368759870529175,0.6500000357627869,0.650,4.419196790170001,0.030510879848628193,0.22924329098391788,0.1319802963189247,0.44327763169111556,0.22025502247500228,0.5365625004712491,0.2680970891616418,0.5889537948321287
0,3.595059797400802,1024,1023.8046875,ar,1017,64,256,0.8056408969791717,0.7641084250100578,0.5384765913509958,0.44180881704442243,4.43058967590332,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.675.json,3.594580888748169,0.675000011920929,0.675,4.431026389950326,0.03186261417659313,0.23589157498994218,0.13863533940833644,0.4615234086490045,0.23180111781391685,0.5581911829555775,0.2807374696738939,0.610582175301423
0,4.1017655654360885,1025,1023.8046875,ar,1017,64,256,0.7332694896530331,0.7437561084304853,0.5012961420167891,0.3984157165544888,4.558135509490967,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.700.json,4.101202487945557,0.7000000476837158,0.700,4.5586487719733,0.034270147351713506,0.25624389156951444,0.1508337216141278,0.4987038579832108,0.2506632719376716,0.6015842834455108,0.30249955993663086,0.6566338866876199
0,5.009582507589994,1026,1023.859375,ar,1018,64,256,0.6369894501119241,0.7151442654868185,0.4376961692895902,0.32290138535181767,4.724483966827393,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.725.json,5.008876323699951,0.7250000238418579,0.725,4.724944947836202,0.03667953667953668,0.2848557345131817,0.16860669385759894,0.56230383071041,0.28209529197694155,0.6770986146481829,0.33924007040636717,0.7358086483514843
0,5.566907197205188,1024,1023.890625,ar,1022,64,256,0.5765995514912677,0.7069427395777831,0.4152599746768318,0.2956360870119013,4.763652324676514,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.750.json,5.566102027893066,0.75,0.750,4.764031063935306,0.0376512689038441,0.29305726042221686,0.17439471473306348,0.5847400253231677,0.292980994174401,0.7043639129880988,0.3533411390177082,0.7660532200899555
0,7.00737609127032,1024,1023.625,ar,1010,64,256,0.45111453854699846,0.668101543433258,0.34264630875790186,0.21854364433038936,4.960327625274658,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.775.json,7.006330490112305,0.7750000357627869,0.775,4.960407229231198,0.0408322139455367,0.3318984565667419,0.19619010512162327,0.6573536912420981,0.3266930747583507,0.7814563556696101,0.38892758726270665,0.8414457842394881
0,8.082369913230206,1024,1023.515625,ar,999,64,256,0.3621554933384601,0.6512031391242219,0.3110439604939165,0.18431953161803735,5.032888412475586,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.800.json,8.081156730651855,0.800000011920929,0.800,5.033433956420941,0.04311884588962674,0.34879686087577777,0.21004034168182026,0.6889560395060841,0.3469645288098261,0.8156804683819626,0.4080772587386891,0.8740405405240149
0,8.467329518906649,1025,1023.7265625,ar,1017,64,256,0.3317044454093761,0.64847582197633,0.3079892712442353,0.18385642020181392,4.999595642089844,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.825.json,8.466023445129395,0.824999988079071,0.825,4.999798748724728,0.044205071849935516,0.3515241780236703,0.2130029256964762,0.6920107287557647,0.34856362927336537,0.8161435797981857,0.4093208728463946,0.8727315820593127
